-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,0.220925,0,19.9536,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
-0.0399895,0,0.999201,0,0,1,0,0,-0.999201,0,-0.0399895,0,-3.53607,0,19.8034,1|
